
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
19-NOV,13,26.94306768707483,26.9883,,26.2067,26.7794,26.343,26.9133,26.3375
20-NOV,13,27.006020910623945,27.0994,,26.0491,26.9212,26.4024,26.8559,26.3803
21-NOV,12,27.09246113207547,27.2586,,26.1087,26.8933,26.4999,26.9274,26.4485
22-NOV,12,27.15937147950089,27.3418,,26.1625,26.9497,26.3601,27.1233,26.4099
23-NOV,12,27.158575173611112,27.335,,26.2864,27.0433,26.4583,27.3169,26.4356
24-NOV,12,27.138376909722222,27.3783,,26.3549,27.1205,26.5545,27.4614,26.4524
25-NOV,12,27.118699652777778,27.4308,,26.3013,27.1202,26.6508,27.4727,26.5175
26-NOV,12,27.10575138888889,27.5822,,26.3514,27.0994,26.727,27.5522,26.5695
27-NOV,12,27.17956892361111,27.6592,,26.402,27.1549,26.7302,27.7391,26.5485
28-NOV,12,27.204460288808665,27.2891,,26.4476,27.0762,26.7052,27.8123,26.5492
29-NOV,12,27.248366363636364,27.3664,,26.5692,27.1927,26.9729,27.9409,26.5445
30-NOV,12,27.322168923611112,27.5151,,26.688,27.2785,27.0459,27.9856,26.5904
01-DEC,12,27.388239930555557,27.6143,,26.7239,27.3495,27.1117,27.9003,26.751
02-DEC,12,27.40482673611111,27.4951,,26.7104,27.4275,27.2375,27.6653,27.0648
03-DEC,12,27.41237152777778,27.5271,,26.8413,27.4862,27.3459,28.1295,27.2681
04-DEC,12,27.471196006944446,27.4344,,26.8518,27.4501,27.5509,28.5827,27.5375
05-DEC,12,27.505385069444444,27.5559,,26.8171,27.3115,27.5689,28.6102,27.4666
06-DEC,12,27.553353472222224,27.7545,,26.8799,27.2372,27.5755,28.2684,27.5846
07-DEC,12,27.56415418118467,27.7427,,26.8484,27.1737,27.6509,27.956,27.7262
08-DEC,12,27.606764716312057,27.5459,,26.9067,27.4138,27.6561,27.8582,27.6279
09-DEC,12,27.703295910780668,27.6694,,26.891,27.4241,27.6769,27.8458,27.47
10-DEC,12,27.80047180851064,27.6611,,26.8773,27.5038,27.5959,27.7148,27.3354
11-DEC,12,27.877170260869566,27.7989,,26.9122,27.4869,27.6002,27.6553,27.3065
12-DEC,12,27.857586458333333,27.8594,,26.9904,27.4935,27.6611,27.8026,27.3934
13-DEC,12,27.842827604166665,27.9491,,27.1471,27.4984,27.5959,28.2946,27.4537
14-DEC,12,27.825304856115107,28.0493,,27.1129,27.4308,27.6587,28.2276,27.5577
15-DEC,12,27.892705555555555,28.0156,,27.0398,27.5311,27.7029,28.0946,27.6132
16-DEC,12,27.944509375,27.9178,,27.0866,27.5355,27.7313,28.1697,27.7992
17-DEC,13,27.933167725752508,27.7439,,27.1887,27.5884,27.736,28.3147,27.8797
18-DEC,13,27.92971169871795,27.6037,,27.2259,27.7009,27.7015,28.4176,27.7148
19-DEC,13,27.913597756410255,27.592,,27.2072,27.785,27.6842,28.5606,27.6549
20-DEC,13,27.903959615384615,27.6671,,27.2105,27.6528,27.6904,28.5803,27.7204
21-DEC,13,27.863921710526316,27.6038,,27.1921,27.6782,27.7064,28.5364,27.7121
22-DEC,12,27.872152777777778,27.5736,,27.2105,27.8754,27.6486,28.5368,27.7233
23-DEC,12,27.93578125,27.6102,,27.2186,27.8198,27.6466,28.891,27.8225
24-DEC,12,27.915260223048328,27.6133,,27.1559,27.7915,27.5215,28.5027,27.8663
25-DEC,11,28.009696969696968,27.7737,,27.11,27.7954,27.5928,28.1383,27.8858
26-DEC,11,28.133541666666666,27.8478,,27.1458,27.8106,27.6777,28.3346,27.8119
27-DEC,11,28.24598484848485,27.8329,,27.1558,27.8697,27.7224,28.3298,27.8353
28-DEC,11,28.255151515151514,27.9934,,27.2293,27.9569,27.8413,28.2594,27.8913
29-DEC,11,28.19064393939394,27.988,,27.2773,27.9611,27.8127,28.1656,27.932
30-DEC,11,28.09825806451613,28.0796,,27.1535,28.0509,27.9436,28.1134,28.0195
31-DEC,7,27.827371794871794,28.1892,,27.0842,28.1307,28.0809,27.9282,28.1865
01-JAN,12,28.244172597864768,28.1937,,27.1624,28.2203,28.2097,27.8713,28.2566
02-JAN,13,28.323045150501674,28.2794,,27.3476,28.3162,28.2675,27.7651,28.3093
03-JAN,13,28.39099676898223,28.1552,,27.4518,28.3703,28.1747,27.7941,28.289
04-JAN,13,28.449279742765274,28.2305,,27.5345,28.5094,28.1545,27.9717,28.3395
05-JAN,13,28.49463141025641,28.377,,27.64,28.4977,27.9661,28.0399,28.2424
06-JAN,13,28.53077367576244,28.4848,,27.8183,28.5102,27.7833,28.0501,28.3071
07-JAN,13,28.539453525641026,28.4025,,28.0822,28.6037,27.8057,28.1061,28.4632
08-JAN,13,28.58644391025641,28.4827,,27.9222,28.5545,27.7923,28.246,28.4619
09-JAN,13,28.610240384615384,28.5038,,28.0751,28.4503,28.0567,28.3042,28.4845
10-JAN,13,28.6296266025641,28.3991,,28.0091,28.6006,28.0707,28.4422,28.4216
11-JAN,13,28.6091875,28.4641,,27.7073,28.6394,28.1017,28.4251,28.4167
12-JAN,13,28.55886698717949,28.4091,,27.3772,28.6113,28.0935,28.348,28.4472
13-JAN,13,28.517366220735784,28.4578,,27.2737,28.5905,28.0247,28.1978,28.4255
14-JAN,12,28.524291666666667,28.3903,,27.3618,28.6527,28.09,28.1533,28.3556
15-JAN,12,28.52521875,28.311,,27.4332,28.8789,28.1755,28.1494,28.4304
16-JAN,12,28.51605902777778,28.2682,,27.5172,28.8117,28.3288,28.0878,28.5848
17-JAN,12,28.57867013888889,28.3003,,27.5811,28.657,28.0342,28.1891,28.7595
18-JAN,13,28.53782284768212,28.3484,,27.7455,28.7477,27.9902,28.2489,28.8303
19-JAN,13,28.507084935897435,28.4411,,27.7897,28.8907,27.9665,28.3423,28.9091
20-JAN,13,28.45365326633166,28.5802,,27.8025,29.049,27.8041,28.2775,28.9697
21-JAN,12,28.484996527777778,28.6436,,27.7783,29.1033,27.7951,28.1687,28.9279
22-JAN,12,28.55984201388889,28.5378,,27.8039,29.3526,27.726,28.1637,28.8983
23-JAN,12,28.60621080139373,28.4464,,27.8403,29.0592,27.6887,28.2318,28.987
24-JAN,12,28.583810763888888,28.5253,,27.9445,28.9665,27.8542,28.2879,28.9001
25-JAN,12,28.61965053763441,28.6693,,28.124,28.9791,27.9149,28.2093,28.8314
26-JAN,12,28.663531531531532,28.7391,,28.2021,28.8778,27.9946,28.0387,28.7983
27-JAN,13,28.721098993288592,28.6592,,28.112,28.8133,27.9235,28.1403,28.8983
28-JAN,12,28.723423611111112,28.7208,,28.2715,28.8142,27.9405,28.1991,29.0185
29-JAN,13,28.841656765676568,28.581,,28.7386,28.8272,27.9926,28.117,29.0881
30-JAN,13,28.797232371794873,28.4408,,29.23,28.8357,28.094,28.0519,29.2773
31-JAN,13,28.819421474358975,28.56,,29.4281,28.9067,28.1908,28.0724,29.142
01-FEB,13,28.88012359550562,28.5434,,29.4603,28.9285,28.2928,28.1069,28.7413
02-FEB,13,28.9472516025641,28.6973,,29.3971,28.93,28.3116,28.1574,28.9887
03-FEB,13,28.96050801282051,28.6629,,29.2964,29.0576,28.35,28.1654,29.0094
04-FEB,13,28.973014423076922,28.5207,,29.1988,28.7577,28.4053,28.2126,29.14
05-FEB,13,28.97649358974359,28.2252,,29.0965,28.7206,28.4366,28.2917,29.1659
06-FEB,13,28.98088141025641,28.2091,,28.9964,28.6819,28.1644,28.2982,29.1667
07-FEB,13,28.94158173076923,28.2303,,28.9743,28.7447,27.8985,28.2309,29.3032
08-FEB,13,28.89070192307692,28.1426,,28.8693,28.738,27.8566,28.1833,29.3814
09-FEB,13,28.881903846153847,28.2009,,28.5541,28.7486,27.7892,28.1211,29.4967
10-FEB,13,28.88035426731079,28.2974,,28.2553,28.7673,27.7622,28.241,29.415
11-FEB,14,28.861714501510573,28.2163,,28.2882,28.7778,27.8345,28.5612,29.4811
12-FEB,14,28.92824617737003,28.2969,,28.3561,28.8952,28.0273,28.5632,29.4907
13-FEB,13,28.92485737704918,28.2355,,28.333,29.0766,28.1359,28.6928,29.7026
14-FEB,13,28.88592467948718,28.2498,,28.5373,29.0862,28.2517,28.6153,29.8103
15-FEB,13,28.866157718120807,28.3629,,28.8493,29.1195,28.3301,28.5545,29.7059
16-FEB,12,28.87565892857143,28.343,,28.8729,29.1268,28.5091,28.6148,29.4951
17-FEB,11,28.782147727272726,28.3832,,28.821,29.1779,28.4694,28.8011,29.1853
18-FEB,11,28.75177566539924,28.557,,28.8473,29.1799,28.381,28.8672,29.0654
19-FEB,11,28.694647727272727,28.6429,,28.8891,29.4812,28.4537,28.9285,29.1934
20-FEB,11,28.69379924242424,28.79,,28.9007,29.4969,28.6171,28.8793,29.2665
21-FEB,11,28.661941287878786,28.8091,,28.6587,29.6188,28.7985,29.0972,29.3304
22-FEB,13,28.764013311148087,28.7662,,28.5975,29.486,28.6136,29.0314,28.9845
23-FEB,14,28.82610197869102,28.6563,,28.4773,29.5437,28.4632,29.3083,29.0328
24-FEB,14,28.79065476190476,28.5287,28.6637,29.2458,28.5369,29.3358,29.0922
25-FEB,14,28.798348214285713,28.3421,28.2465,28.6959,29.2273,28.5655,29.0266,28.9433
26-FEB,14,28.782809523809522,28.3252,28.1802,28.7145,29.0866,28.5013,28.5583,28.8939
27-FEB,15,28.784339568345324,28.3625,28.3734,28.9258,28.8753,28.5599,28.5383,28.8315
28-FEB,15,28.738444444444443,28.3799,28.4955,29.1798,28.9214,28.449,28.3993,28.9912
29-FEB,4,28.857015625,,,29.1829,,,,28.9134
01-MAR,15,28.71303741007194,28.2848,28.5148,29.3111,28.8576,28.3475,28.3756,28.8803
02-MAR,15,28.67882892086331,28.2554,28.5173,29.4018,28.7469,28.2764,28.3549,29.1606
03-MAR,15,28.66412033426184,28.2207,28.3995,29.2879,28.6982,28.0585,28.2528,29.3498
04-MAR,15,28.65289111111111,28.1331,28.3338,28.8978,28.778,27.8284,28.2478,29.4737
05-MAR,15,28.618019166666667,28.1354,28.2798,28.9504,28.8733,27.8608,28.2849,29.4966
06-MAR,15,28.594126527777778,28.0128,28.3808,28.9347,28.9612,27.979,28.325,29.4587
07-MAR,15,28.60627125,27.8996,28.5021,29.0979,29.1535,28.132,28.3329,29.2559
08-MAR,15,28.623608603667137,27.8844,28.4511,29.0635,29.2457,28.1593,28.2853,29.2931
09-MAR,15,28.561731666666667,27.8302,28.3672,29.0636,29.3558,28.169,28.2839,29.1863
10-MAR,15,28.520058664772726,27.8794,28.2166,29.1108,29.2536,28.1244,28.3134,29.1123
11-MAR,14,28.45930357142857,27.6503,28.2608,29.0372,28.9881,27.9627,28.1933,28.9079
12-MAR,14,28.432964669738862,27.5573,28.2137,28.9103,28.9417,27.7866,28.3394,28.5544
13-MAR,14,28.39236220472441,27.5733,28.0009,28.9166,28.9602,27.7143,28.4521,28.8237
14-MAR,13,28.408766025641025,27.6106,27.9188,28.905,29.0224,27.7601,28.4908,29.1254
15-MAR,13,28.363477564102563,27.6231,27.8738,29.0003,29.0624,27.7045,28.5682,29.0506
16-MAR,13,28.35603685897436,27.5623,27.7886,28.9958,29.054,27.7778,28.6758,29.0281
17-MAR,13,28.341703525641027,27.6052,27.7506,28.9487,29.1643,27.7817,28.6452,28.7233
18-MAR,13,28.352299679487178,27.6358,27.6304,28.8751,29.3228,27.6781,28.3322,28.5253
19-MAR,13,28.330725961538462,27.517,27.6332,28.7953,29.3981,27.603,28.1314,28.5175
20-MAR,13,28.26588782051282,27.5601,27.6493,28.8947,29.3322,27.6744,28.0087,28.4287
21-MAR,13,28.219134615384615,27.5972,27.7195,28.9628,29.3261,27.6548,27.8445,28.4288
22-MAR,13,28.205783653846154,27.6476,27.6324,29.0412,29.3879,27.6452,27.7205,28.2455
23-MAR,13,28.226,27.6388,27.6381,29.096,29.4811,27.8574,28.2656
24-MAR,14,28.2211136,27.5759,27.7238,29.0497,29.4526,,27.9897,28.221
25-MAR,14,28.196580357142857,27.5622,27.8135,28.7366,29.2286,,28.1076,28.097
26-MAR,14,28.144066964285713,27.5963,27.8771,28.6731,29.0639,28.2305,28.0993
27-MAR,14,28.11716369047619,27.6767,27.8722,28.7266,29.1764,,28.3259,27.9219
28-MAR,14,28.114151785714284,27.778,27.7442,28.7962,29.1972,,28.3751,27.9498
29-MAR,14,28.121699404761905,27.8286,27.4604,28.6629,29.0619,,28.428,27.9248
30-MAR,14,28.096296130952382,27.8667,27.1767,28.6343,29.0997,,28.5307,27.8865
31-MAR,14,28.07416840536513,27.8201,27.1021,28.7306,29.2189,28.5708,27.9125
